Trial Name,Intervention,N,"Age (mean, SD)","Male (n,%)","Caucasian (n, %)","Asian (n, %)","TJC (mean, SD)b","SJC (mean, SD)b","DAS28 CRP (mean, SD)","DAS28 ESR (mean, SD)","HAQ-DI (mean, SD)"
SATORI,cDMARD,66,50.8 (12.2),16 (25.0),-- (--),-- (100.0),14.2 (8.6)e,12.7 (7.5)e,6.2 (0.9),-- (--),-- (--)
,TOC (8mg/kg IV),61,52.6 (10.6),6 (9.8),-- (--),-- (100.0),13.8 (7.5)e,12.4 (5.9)e,6.1 (0.9),-- (--),-- (--)
SELECT-NEXT,UPA (15mg PO) + cDMARD,221,55.3 (11.5),39 (18.0),-- (--),-- (--),25.2 (13.8),16.0 (10.0),5.7 (1.0),-- (--),1.5 (0.6)
,cDMARD,221,56.0 (12.2),55 (25.0),-- (--),-- (--),24.7 (15.0),15.4 (9.2),5.6 (0.8),-- (--),1.4 (0.6)
,UPA (30mg PO) + cDMARD,219,55.8 (11.3),47 (21.0),-- (--),-- (--),26.2 (14.3),16.2 (10.6),5.7 (0.9),-- (--),1.5 (0.6)
SERENE,RTX (1000mg IV) + cDMARD,172,51.3 (12.6),32 (18.8),-- (80.6),-- (--),28.7 (15.0),19.5 (10.3),5.9 (1.0),6.5 (1.1),-- (--)
,cDMARD,172,52.2 (12.4),25 (14.5),-- (82.6),-- (--),30.2 (15.9),20.9 (11.3),6.0 (1.0),6.5 (1.0),-- (--)
,RTX (500mg IV) + cDMARD,168,51.9 (12.9),34 (20.4),-- (80.2),-- (--),27.1 (14.1),18.6 (9.6),5.8 (0.9),6.4 (1.0),-- (--)
STAR,ADA (40mg SC) + cDMARD,318,55.0 (12.8),65 (20.4),-- (89.0),-- (--),27.3 (13.0),20.9 (11.0),-- (--),-- (--),1.4 (0.6)
,cDMARD,318,55.8 (12.4),66 (20.8),-- (85.8),-- (--),27.6 (13.8),21.3 (11.2),-- (--),-- (--),1.4 (0.6)
START,cDMARD,363,52.0a,61 (16.8),-- (--),-- (--),22.0a,15.0a,-- (--),-- (--),-- (--)
,IFX (10mg/kg IV) + cDMARD,361,52.0a,80 (22.2),-- (--),-- (--),22.0a,15.0a,-- (--),-- (--),-- (--)
,IFX (3mg/kg IV Q8WEEK) + cDMARD,360,53.0a,72 (20.0),-- (--),-- (--),22.0a,15.0a,-- (--),-- (--),-- (--)
SURPRISE,TOC (8mg/kg IV) + cDMARD,115,55.8 (11.7),15 (13.0),-- (--),-- (100.0),9.6 (7.5),7.6 (5.3),-- (--),5.1 (1.1),1.0 (0.7)
,TOC (8mg/kg IV),111,56.3 (2.7),15 (13.5),-- (--),-- (100.0),10.1 (9.0),9.9 (7.6),-- (--),5.3 (1.2),1.0 (0.7)
Takeuchi 2013a,ABT (10mg/kg IV) + cDMARD,61,53.4 (11.3),-- (19.6),-- (--),-- (--),21.8 (9.3),16.6 (6.7),6.0 (0.7),-- (--),1.3 (0.6)
,ABT (2mg/kg IV) + cDMARD,67,52.5 (11.1),-- (14.9),-- (--),-- (--),21.0 (8.2),17.6 (6.5),5.8 (0.7),-- (--),1.2 (0.7)
,cDMARD,66,53.4 (12.0),-- (21.3),-- (--),-- (--),21.6 (8.2),17.5 (6.1),6.0 (0.7),-- (--),1.5 (0.7)
TEMPO,ETN (50mg SC) + cDMARD,231,52.5 (12.4),60 (26.0),-- (--),-- (--),34.2 (14.8),22.1 (11.3),5.5 (1.2),-- (--),-- (--)
,cDMARD,228,53.0 (12.8),48 (21.0),-- (--),-- (--),33.1 (13.4),22.6 (10.7),5.5 (1.2),-- (--),-- (--)
,ETN (50mg SC),223,53.2 (13.8),52 (23.0),-- (--),-- (--),35.0 (14.5),23.0 (10.7),5.7 (1.1),-- (--),-- (--)
TOWARD,TOC (8mg/kg IV) + cDMARD,805,53.0 (13.0),-- (19.0),-- (72.0),-- (9.0),30.1 (16.0),19.7 (11.6),-- (--),6.7 (1.0),1.5 (0.6)
,cDMARD,415,54.0 (13.0),-- (16.0),-- (72.0),-- (10.0),29.1 (14.8),18.7 (10.8),-- (--),6.6 (1.0),1.5 (0.6)
van de Putte 2004,ADA (40mg SC),113,52.7 (13.3),23 (20.4),-- (--),-- (--),33.7 (15.9),20.5 (10.6),-- (--),7.1 (0.9),1.8 (0.6)
,ADA (20mg SC QWEEK),112,54.4 (11.8),31 (27.3),-- (--),-- (--),35.3 (14.9),19.8 (9.7),-- (--),7.1 (0.9),1.9 (0.6)
,Placebo,110,53.5 (13.2),25 (22.7),-- (--),-- (--),35.5 (14.2),19.8 (9.3),-- (--),7.1 (0.9),1.9 (0.6)
,ADA (20mg SC Q2WEEK),106,53.1 (12.2),22 (20.8),-- (--),-- (--),33.9 (14.4),19.6 (8.7),-- (--),7.1 (0.9),1.9 (0.6)
,ADA (40mg SC QWEEK),103,51.8 (11.8),22 (21.4),-- (--),-- (--),33.8 (14.0),19.3 (8.8),-- (--),7.0 (0.8),1.8 (0.6)
Weinblatt 1999,cDMARD,30,53.0 (--),27 (--),-- (83.0),-- (--),28.0 (--),17.0 (--),-- (--),-- (--),1.5 (--)
,ETN (50mg SC),59,48.0 (--),10 (--),-- (76.0),-- (--),28.0 (--),20.0 (--),-- (--),-- (--),1.5 (--)
Weinblatt 2018,ADA (40mg SC) + cDMARD,273,52.5 (11.9),49 (17.9),269 (99.0),4 (1.5),24.1 (10.8),15.5 (7.5),-- (--),6.5 (0.7),1.4 (0.6)
,ADA-SB5 (40mg SC) + cDMARD,271,49.8 (12.7),54 (19.9),271 (100.0), (--),23.9 (11.7),15.8 (8.0),-- (--),6.5 (0.7),1.3 (0.6)
