"Author, Year",Title,Journal,Reason,Subreason
"Moreland, 2012",A randomized comparative effectiveness study of oral triple therapy versus etanercept plus methotrexate in early aggressive rheumatoid arthritis: The treatment of early aggressive rheumatoid arthritis trial,Arthritis and rheumatism,Population,cDMARD na夫e
"Mori, 2018",Tofacitinib therapy for rheumatoid arthritis: A direct comparison study between biologic-naive and experienced patients,Internal Medicine,Study design,Non-randomized
"Muller-Ladner, 2012",Comparison of patient satisfaction with two different etanercept delivery systems. A randomised controlled study in patients with rheumatoid arthritis,Zeitschrift fur rheumatologie,Study design,Pooled analysis
"Neva, 2000",Combination drug therapy retards the development of rheumatoid atlantoaxial subluxations,Arthritis and rheumatism,Outcomes,No outcomes of interest
"O'Dell, 2002","Treatment of rheumatoid arthritis with methotrexate and hydroxychloroquine, methotrexate and sulfasalazine, or a combination of the three medications: Results of a two-year, randomized, double-blind, placebo-controlled trial",Arthritis and rheumatism,Population,cDMARD na夫e
"Ostergaard, 2015","Mri assessment of early response to certolizumab pegol in rheumatoid arthritis: A randomised, double-blind, placebo-controlled phase iiib study applying mri at weeks 0, 1, 2, 4, 8 and 16",Annals of the rheumatic diseases,Comparator,No active comparator at 24 weeks (placebo crossover only)
"Pandi Kumar, 2018",A prospective study on comparing the efficacy of combination therapy and monotherapy of dmards in patients with rheumatoid arthritis,Research Journal of Pharmacy and Technology,Outcomes,No outcomes of interest at 24 weeks
"Pavelka, 2017",Maintenance of remission with combination etanercept-dmard therapy versus dmards alone in active rheumatoid arthritis: Results of an international treat-to-target study conducted in regions with limited biologic access,Rheumatology international,Population,Low disease activity population
"Porter, 2016","Tumour necrosis factor inhibition versus rituximab for patients with rheumatoid arthritis who require biological treatment (orbit): An open-label, randomised controlled, non-inferiority, trial","Lancet (london, england)",Intervention,Unspecified treatment
"Quinn, 2005","Very early treatment with infliximab in addition to methotrexate in early, poor-prognosis rheumatoid arthritis reduces magnetic resonance imaging evidence of synovitis and damage, with sustained benefit after infliximab withdrawal: Results from a twelve-month randomized, double-blind, placebo-controlled trial",Arthritis and rheumatism,Population,cDMARD na夫e
"Radstake, 2009",Formation of antibodies against infliximab and adalimumab strongly correlates with functional drug levels and clinical responses in rheumatoid arthritis,Annals of the Rheumatic Diseases,Study design,Non-randomized
"Raffeiner, 2013",Adopting low-dose etanercept strategy in the long-term management of rheumatoid arthritis patients,Clinical Drug Investigation,Study design,Review
"Ramos-Remus, 2008",The option trial: Inhibition of the interleukin-6 receptor with tocilizumab in patients with rheumatoid arthritis,Future Rheumatology,Other,Review
"Rau, 2004",Rapid alleviation of signs and symptoms of rheumatoid arthritis with intravenous or subcutaneous administration of adalimumab in combination with methotrexate,Scandinavian journal of rheumatology,Study design,No outcomes of interest at 24 weeks
"Rexhepi, 2018",Evaluation of the efficacy of combined therapy of methotrexate and etanercept versus methotrexate as a mono-therapy,Open Access Macedonian Journal of Medical Sciences,Outcomes,No outcomes of interest at 24 weeks
"Rezaei, 2013",Evaluation of hand bone loss by digital x-ray radiogrammetry as a complement to clinical and radiographic assessment in early rheumatoid arthritis: Results from the swefot trial,BMC Musculoskeletal Disorders,Population,cDMARD na夫e
"Roshique, 2015",Efficacy and safety of a biosimilar rituximab in biologic naive patients with active rheumatoid arthritis,Clinical Rheumatology,Study design,Non-randomized
"Roux, 2011","Etanercept compared to intraarticular corticosteroid injection in rheumatoid arthritis: Double-blind, randomized pilot study",Journal of rheumatology,Comparator,Betamethasone
"Rubbert-Roth, 2010",Efficacy and safety of various repeat treatment dosing regimens of rituximab in patients with active rheumatoid arthritis: Results of a phase iii randomized study (mirror),Rheumatology,Intervention,Dose-randomization
"Russell, 2007",Abatacept improves both the physical and mental health of patients with rheumatoid arthritis who have inadequate response to methotrexate treatment,Annals of the rheumatic diseases,Outcomes,No outcomes of interest
"Saleem, 2008","Does the use of tumour necrosis factor antagonist therapy in poor prognosis, undifferentiated arthritis prevent progression to rheumatoid arthritis?",Annals of the rheumatic diseases,Population,Undifferentiated arthritis
"Salgado, 2013",The jak inhibitor tofacitinib for active rheumatoid arthritis: Results from phase iii trials,International Journal of Clinical Rheumatology,Study design,Review
"Saunders, 2008","Triple therapy in early active rheumatoid arthritis: A randomized, single-blind, controlled trial comparing step-up and parallel treatment strategies",Arthritis and rheumatism,Population,cDMARD na夫e
"Schiff, 2014","Rheumatoid arthritis secondary non-responders to tnf can attain an efficacious and safe response by switching to certolizumab pegol: A phase iv, randomised, multicentre, double-blind, 12-week study, followed by a 12-week open-label phase",Annals of the rheumatic diseases,Outcomes,No outcomes of interest at 24 weeks
"Schiff, 2014",Head-to-head comparison of subcutaneous abatacept versus adalimumab for rheumatoid arthritis: Two-year efficacy and safety findings from ample trial,Annals of the rheumatic diseases,Outcomes,No outcomes of interest at 24 weeks
"Scott, 2015",Tumour necrosis factor inhibitors versus combination intensive therapy with conventional disease modifying anti-rheumatic drugs in established rheumatoid arthritis: Tacit non-inferiority randomised controlled trial,BMJ,Outcomes,No outcomes of interest at 24 weeks
"Sennels, 2008","Circulating levels of osteopontin, osteoprotegerin, total soluble receptor activator of nuclear factor-kappa b ligand, and high-sensitivity c-reactive protein in patients with active rheumatoid arthritis randomized to etanercept alone or in combination with methotrexate",Scandinavian Journal of Rheumatology,Study design,No outcomes of interest at 24 weeks
"Shi, 2013","The efficacy and safety of tocilizumab combined with disease-modifying anti-rheumatoid drugs in the treatment of active rheumatoid arthritis: A multi-center, randomized, double-blinded, placebo-controlled trial",Zhonghua nei ke za zhi [Chinese journal of internal medicine],Other,Language
"Smeets, 2003","Tumor necrosis factor alpha blockade reduces the synovial cell infiltrate early after initiation of treatment, but apparently not by induction of apoptosis in synovial tissue",Arthritis and rheumatism,Outcomes,No outcomes of interest at 24 weeks
"Smolen, 2016",Head-to-head comparison of certolizumab pegol versus adalimumab in rheumatoid arthritis: 2-year efficacy and safety results from the randomised exxelerate study,"Lancet (london, england)",Outcomes,No outcomes of interest at 24 weeks
"Smolen, 2017","A randomised, double-blind trial to demonstrate bioequivalence of gp2013 and reference rituximab combined with methotrexate in patients with active rheumatoid arthritis",Annals of the rheumatic diseases,Outcomes,No outcomes of interest
"Smolen, 2018","Safety, immunogenicity and efficacy after switching from reference infliximab to biosimilar sb2 compared with continuing reference infliximab and sb2 in patients with rheumatoid arthritis: Results of a randomised, double-blind, phase iii transition study",Annals of the rheumatic diseases,Outcomes,No outcomes of interest at 24 weeks
"Smolen, 2014",Adjustment of therapy in rheumatoid arthritis on the basis of achievement of stable low disease activity with adalimumab plus methotrexate or methotrexate alone: The randomised controlled optima trial,"Lancet (london, england)",Population,cDMARD na夫e
"Smolen, 2014","Certolizumab pegol in rheumatoid arthritis patients with low to moderate activity: The certain double-blind, randomised, placebo-controlled trial",Annals of the Rheumatic Diseases.,Population,Low to moderate disease activity
"Smolen, 2015","Certolizumab pegol in rheumatoid arthritis patients with low to moderate activity: The certain double-blind, randomised, placebo-controlled trial",Annals of the rheumatic diseases,Population,cDMARD na夫e
"Smolen, 2005",Evidence of radiographic benefit of treatment with infliximab plus methotrexate in rheumatoid arthritis patients who had no clinical improvement: A detailed subanalysis of data from the anti-tumor necrosis factor trial in rheumatoid arthritis with concomitant therapy study,Arthritis and rheumatism,Outcomes,No outcomes of interest at 24 weeks
"Smolen, 2013","Maintenance, reduction, or withdrawal of etanercept after treatment with etanercept and methotrexate in patients with moderate rheumatoid arthritis (preserve): A randomised controlled trial","Lancet (london, england)",Intervention,Discontinuation/withdrawal study
"Sonomoto, 2014",Effects of tofacitinib on lymphocytes in rheumatoid arthritis: Relation to efficacy and infectious adverse events,Rheumatology,Study design,Pooled analysis
"Soubrier, 2009",Evaluation of two strategies (initial methotrexate monotherapy vs its combination with adalimumab) in management of early active rheumatoid arthritis: Data from the guepard trial,Rheumatology,Population,cDMARD na夫e
"St Clair, 2002","The relationship of serum infliximab concentrations to clinical improvement in rheumatoid arthritis: Results from attract, a multicenter, randomized, double-blind, placebo-controlled trial",Arthritis and rheumatism,Outcomes,No outcomes of interest at 24 weeks
"Strand, 2015",Effects of tofacitinib monotherapy on patient-reported outcomes in a randomized phase 3 study of patients with active rheumatoid arthritis and inadequate responses to dmards,Arthritis Care and Research,Comparator,No active comparator at 24 weeks (placebo crossover only)
"Strand, 2015",Tofacitinib with methotrexate in third-line treatment of patients with active rheumatoid arthritis: Patient-reported outcomes from a phase iii trial,Arthritis Care and Research,Outcomes,No outcomes of interest at 24 weeks
"Strand, 2015",The impact of rheumatoid arthritis on work and predictors of overall work impairment from three therapeutic scenarios,International Journal of Clinical Rheumatology,Intervention,Discontinuation/withdrawal study
"Strand, 2009","Rapid and sustained improvements in health-related quality of life, fatigue, and other patient-reported outcomes in rheumatoid arthritis patients treated with certolizumab pegol plus methotrexate over 1 year: Results from the rapid 1 randomized controlled trial",Arthritis research & therapy,Outcomes,No outcomes of interest at 24 weeks
"Stubenrauch, 2010",Subset analysis of patients experiencing clinical events of a potentially immunogenic nature in the pivotal clinical trials of tocilizumab for rheumatoid arthritis: Evaluation of an antidrug antibody elisa using clinical adverse event-driven immunogenicity testing,Clinical Therapeutics,Study design,Pooled analysis
"Suh, 2019",Long-term efficacy and safety of biosimilar ct-p10 versus innovator rituximab in rheumatoid arthritis: 48-week results from a randomized phase iii trial,BioDrugs,Outcomes,No outcomes of interest at 24 weeks
"Sun, 2016",Efficacy and safety of combined etanercept and iguratimod for active rheumatoid arthritis,Biomedical Research (India),Population,cDMARD na夫e
"Tak, 2011",Inhibition of joint damage and improved clinical outcomes with rituximab plus methotrexate in early active rheumatoid arthritis: The image trial,Annals of the rheumatic diseases,Population,cDMARD na夫e
"Takeuchi, 2013","A phase 3 randomized, double-blind, multicenter comparative study evaluating the effect of etanercept versus methotrexate on radiographic outcomes, disease activity, and safety in japanese subjects with active rheumatoid arthritis",Modern rheumatology,Outcomes,No outcomes of interest at 24 weeks
"Takeuchi, 2015",Evaluation of the pharmacokinetic equivalence and 54-week efficacy and safety of ct-p13 and innovator infliximab in japanese patients with rheumatoid arthritis,Modern rheumatology,Outcomes,No outcomes of interest at 24 weeks
"Tam, 2012",Infliximab is associated with improvement in arterial stiffness in patients with early rheumatoid arthritis -- a randomized trial,Journal of rheumatology,Population,cDMARD na夫e
"Tanaka, 2016","Efficacy and safety of baricitinib in japanese patients with active rheumatoid arthritis receiving background methotrexate therapy: A 12-week, double-blind, randomized placebo-controlled study",Journal of rheumatology,Outcomes,No outcomes of interest at 24 weeks
"Tanaka, 2018","Efficacy and safety of baricitinib in japanese patients with active rheumatoid arthritis: A 52-week, randomized, single-blind, extension study",Modern rheumatology,Study design,Single-arm extension
"Tanaka, 2011","Phase ii study of tofacitinib (cp-690,550) combined with methotrexate in patients with rheumatoid arthritis and an inadequate response to methotrexate",Arthritis Care and Research,Outcomes,No outcomes of interest at 24 weeks
"Tanaka, 2019","Modified- versus immediate-release tofacitinib in japanese rheumatoid arthritis patients: A randomized, phase iii, non-inferiority study",Rheumatology,Intervention,Dose randomization
"Tanaka, 2015","Efficacy and safety of tofacitinib as monotherapy in japanese patients with active rheumatoid arthritis: A 12-week, randomized, phase 2 study",Modern rheumatology,Outcomes,No outcomes of interest at 24 weeks
"Taylor, 2004","Comparison of ultrasonographic assessment of synovitis and joint vascularity with radiographic evaluation in a randomized, placebo-controlled study of infliximab therapy in early rheumatoid arthritis",Arthritis and rheumatism,Outcomes,No outcomes of interest
"Taylor, 2006",Ultrasonographic and radiographic results from a two-year controlled trial of immediate or one-year-delayed addition of infliximab to ongoing methotrexate therapy in patients with erosive early rheumatoid arthritis,Arthritis and rheumatism,Outcomes,No outcomes of interest at 24 weeks
"Tony, 2019",Brief report: Safety and immunogenicity of rituximab biosimilar gp 2013 after switch from reference rituximab in patients with active rheumatoid arthritis,Arthritis Care and Research,Outcomes,No outcomes of interest
"Van De Putte, 2003","Efficacy and safety of the fully human anti-tumour necrosis factor alpha monoclonal antibody adalimumab (d2e7) in dmard refractory patients with rheumatoid arthritis: A 12 week, phase ii study",Annals of the Rheumatic Diseases,Outcomes,No outcomes of interest at 24 weeks
"van der Heijde, 2008",The safety and efficacy of adding etanercept to methotrexate or methotrexate to etanercept in moderately active rheumatoid arthritis patients previously treated with monotherapy,Annals of the rheumatic diseases,Outcomes,No outcomes of interest at 24 weeks
"van der Heijde, 2019","Tofacitinib in combination with methotrexate in patients with rheumatoid arthritis: Clinical efficacy, radiographic, and safety outcomes from a twenty-four-month, phase iii study",Arthritis and Rheumatology.,Outcomes,No outcomes of interest at 24 weeks
"van der Kooij, 2009",Patient-reported outcomes in a randomized trial comparing four different treatment strategies in recent-onset rheumatoid arthritis,Arthritis and rheumatism,Population,cDMARD na夫e
"van der Kooij, 2009","Drug-free remission, functioning and radiographic damage after 4 years of response-driven treatment in patients with recent-onset rheumatoid arthritis",Annals of the rheumatic diseases,Population,cDMARD na夫e
"van Jaarsveld, 2000","Aggressive treatment in early rheumatoid arthritis: A randomised controlled trial. On behalf of the rheumatic research foundation utrecht, the netherlands",Annals of the rheumatic diseases,Population,cDMARD na夫e
"Van Riel, 2006",Efficacy and safely of combination etanercept and methotrexate versus etanercept alone in patients with rheumatoid arthritis with an inadequate response to methotrexate: The adore study,Annals of the Rheumatic Diseases,Outcomes,No outcomes of interest at 24 weeks
"Van Riel, 2008",Patient-reported health outcomes in a trial of etanercept monotherapy versus combination therapy with etanercept and methotrexate for rheumatoid arthritis: The adore trial,Annals of the Rheumatic Diseases,Study design,No outcomes of interest at 24 weeks
"van Riel, 2006",Efficacy and safety of combination etanercept and methotrexate versus etanercept alone in patients with rheumatoid arthritis with an inadequate response to methotrexate: The adore study,Annals of the rheumatic diseases,Outcomes,No outcomes of interest at 24 weeks
"van Vollenhoven, 2009",Addition of infliximab compared with addition of sulfasalazine and hydroxychloroquine to methotrexate in patients with early rheumatoid arthritis (swefot trial): 1-year results of a randomised trial,"Lancet (london, england)",Population,cDMARD na夫e
"van Vollenhoven, 2011","Atacicept in patients with rheumatoid arthritis and an inadequate response to methotrexate: Results of a phase ii, randomized, placebo-controlled trial",Arthritis and rheumatism,Intervention,Atacicept
"van Vollenhoven, 2016","Full dose, reduced dose or discontinuation of etanercept in rheumatoid arthritis",Annals of the rheumatic diseases,Population,Low disease activity population
"van Vollenhoven, 2015","Safety and efficacy of atacicept in combination with rituximab for reducing the signs and symptoms of rheumatoid arthritis: A phase ii, randomized, double-blind, placebo-controlled pilot trial",Arthritis & rheumatology,Intervention,atacicept
"Weinblatt, 2006","Safety of the selective costimulation modulator abatacept in rheumatoid arthritis patients receiving background biologic and nonbiologic disease-modifying antirheumatic drugs: A one-year randomized, placebo-controlled study",Arthritis and rheumatism,Outcomes,No outcomes of interest at 24 weeks
"Weinblatt, 2017","A phase iii study evaluating continuation, tapering, and withdrawal of certolizumab pegol after one year of therapy in patients with early rheumatoid arthritis",Arthritis & rheumatology,Population,cDMARD na夫e
"Weinblatt, 2018",Switching from reference adalimumab to sb5 (adalimumab biosimilar) in patients with rheumatoid arthritis: Fifty-two-week phase iii randomized study results,Arthritis and Rheumatology,Outcomes,No outcomes of interest at 24 weeks
"Weinblatt, 2012",Efficacy and safety of certolizumab pegol in a broad population of patients with active rheumatoid arthritis: Results from the realistic phase iiib study,Arthritis & rheumatology,Outcomes,No outcomes of interest at 24 weeks
"Weinblatt, 2015","Twenty-eight-week results from the realistic phase iiib randomized trial: Efficacy, safety and predictability of response to certolizumab pegol in a diverse rheumatoid arthritis population",Arthritis research & therapy,Outcomes,No outcomes of interest at 24 weeks
"Weinblatt, 2008","Efficacy and safety of etanercept 50 mg twice a week in patients with rheumatoid arthritis who had a suboptimal response to etanercept 50 mg once a week: Results of a multicenter, randomized, double-blind, active drug-controlled study",Arthritis and rheumatism,Intervention,Dose randomization
"Weinblatt, 2007",Selective costimulation modulation using abatacept in patients with active rheumatoid arthritis while receiving etanercept: A randomised clinical trial,Annals of the rheumatic diseases,Outcomes,No outcomes of interest at 24 weeks
"Weisman, 2003","Efficacy, pharmacokinetic, and safety assessment of adalimumab, a fully human anti-tumor necrosis factor-alpha monoclonal antibody, in adults with rheumatoid arthritis receiving concomitant methotrexate: A pilot study",Clinical therapeutics,Intervention,Dose randomization
"Weisman, 2007","A placebo-controlled, randomized, double-blinded study evaluating the safety of etanercept in patients with rheumatoid arthritis and concomitant comorbid diseases",Rheumatology ,Population,Restricted to patients with comorbidities
"Westhovens, 2006","A phase i study assessing the safety, clinical response, and pharmacokinetics of an experimental infliximab formulation for subcutaneous or intramuscular administration in patients with rheumatoid arthritis",Journal of rheumatology,Outcomes,No outcomes of interest at 24 weeks
"Westhovens, 2015",Maintenance of remission following 2 years of standard treatment then dose reduction with abatacept in patients with early rheumatoid arthritis and poor prognosis,Annals of the rheumatic diseases,Population,Low disease activity population
"Wijesinghe, 2017",Leflunomide is equally efficacious and safe compared to low dose rituximab in refractory rheumatoid arthritis given in combination with methotrexate: Results from a randomized double blind controlled clinical trial,BMC Musculoskeletal Disorders,Comparator,Leflunomide
"Williams, 2016","Comparative assessment of clinical response in patients with rheumatoid arthritis between pf-05280586, a proposed rituximab biosimilar, and rituximab",British journal of clinical pharmacology,Study design,Modelling study
"Wislowska, 2007",Preliminary evaluation in rheumatoid arthritis activity in patients treated with tnf-alpha blocker plus methotrexate versus methotrexate or leflunomide alone,Rheumatology International,Study design,Non-randomized
"Xia, 2016",Iguratimod in combination with methotrexate in active rheumatoid arthritis : Therapeutic effects,Zeitschrift fur rheumatologie,Intervention,Iguaratimod
"Yoo, 2013","A randomised, double-blind, parallel-group study to demonstrate equivalence in efficacy and safety of ct-p13 compared with innovator infliximab when coadministered with methotrexate in patients with active rheumatoid arthritis: The planetra study",Annals of the rheumatic diseases,Outcomes,No outcomes of interest at 24 weeks
"Yoo, 2016",A phase iii randomized study to evaluate the efficacy and safety of ct-p13 compared with reference infliximab in patients with active rheumatoid arthritis: 54-week results from the planetra study,Arthritis research & therapy,Outcomes,No outcomes of interest at 24 weeks
"Yoo, 2017","A multicentre randomised controlled trial to compare the pharmacokinetics, efficacy and safety of ct-p10 and innovator rituximab in patients with rheumatoid arthritis",Annals of the rheumatic diseases,Study design,Phase 1
"Yoo, 2017","Efficacy, safety and pharmacokinetics of up to two courses of the rituximab biosimilar ct-p10 versus innovator rituximab in patients with rheumatoid arthritis: Results up to week 72 of a phase i randomized controlled trial",BioDrugs,Outcomes,No outcomes of interest at 24 weeks
"Zhang, 2006",Infliximab versus placebo in rheumatoid arthritis patients receiving concomitant methotrexate: A preliminary study from china,APLAR Journal of Rheumatology,Outcomes,No outcomes of interest at 24 weeks
"Zhang, 2013",Pharmacokinetics and pharmacodynamics of tocilizumab after subcutaneous administration in patients with rheumatoid arthritis,International journal of clinical pharmacology and therapeutics,Outcomes,No outcomes of interest at 24 weeks
"Zhao, 2017",Analysis of efficacy and safety of treatment of active rheumatoid arthritis with iguratimod and methotrexate,Biomedical Research (India),Population,cDMARD na夫e
"Zhou, 2007","Pharmacokinetics and safety of golimumab, a fully human anti-tnf-alpha monoclonal antibody, in subjects with rheumatoid arthritis",Journal of clinical pharmacology,Outcomes,No outcomes of interest
